Delegacia,Furtos,Roubo_de_carga,Roubos,Roubo_de_veiculos_total,Furto_de_veiculo,Latrocinios,Homicidio_doloso_por_acidente_de_transito,Homicidio_Culposo_por_acidente_de_Transito,Homicidio_Culposo,Tentativa_de_Homicidio,Lesao_Corporal_seguida_de_morte,Lesao_Corporal_Dolosa,Lesao_Corporal_Culposa_por_acidente_de_transito,Lesao_Corporal_Culposa,Estupro,Estupro_de_vulneravel,Roubo_a_Banco,Ano
Central de Flagrantes II - 91 DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Delegacia de Proteção ao Idoso - 1ª Seccional - Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
3ª DDM - 3ª Seccional - Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8ª DDM - 8ª Seccional São Mateus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Delegacia Porto de Santos (SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Delegacia do Idoso - 5ª Seccional - Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Delegacia do Idoso - 6ª Secional - Santo Amaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9ª DDM - 3ª Seccional - Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Del. Aeroporto SP - Congonhas,23,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,2020
6ª DDM - 6ª Seccional - Santo Amaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
OUTRAS ESPECIALIZADAS,5,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,0,2020
Del. Aeroporto Int. SP - Guarulhos (SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Del. Aeroporto Int. Viracopos - CPS (SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Delegacia do Idoso - 3ª Seccional - Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Delegacia do Idoso - 8ª Seccional - São Mateus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Del. Pol. Atendimento ao Turista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
1ª DDM - 1ª Seccional - Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
5ª DDM - 5ª Seccional - Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DELPOL Metropolitano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Delegacia do Idoso - 4ª Seccional - Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
2ª DDM - 2ª Seccional - Sul,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Delegacia do Idoso - 2ª Seccional - Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7ª DDM - 7ª Seccional - Itaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
01 DP Pessoa com Deficiência,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Delegacia do Idoso - 7ª Seccional - Itaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
4ª DDM - 4ª Seccional - Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020
067 DP - Jardim Robru,809,24,1022,99,104,6,0,0,0,1,0,226,31,3,1,29,0,2020
081 DP - Belém,645,11,300,14,81,5,0,0,0,2,1,107,26,11,2,5,0,2020
052 DP - Parque São Jorge,1606,9,506,27,190,2,0,0,0,3,1,149,119,2,3,6,0,2020
002 DP - Bom Retiro,3744,7,970,17,105,4,0,0,0,1,0,122,78,6,4,6,0,2020
057 DP - Parque da Moóca,585,5,322,38,288,0,0,0,0,0,0,128,49,9,4,6,1,2020
003 DP - Campos Elísios,8355,10,4403,19,98,5,0,0,0,10,0,295,90,9,7,8,1,2020
018 DP - Alto da Moóca,565,7,221,26,137,1,0,1,0,0,0,67,53,8,0,3,0,2020
017 DP - Ipiranga,1450,21,971,238,565,1,0,1,0,3,0,272,102,13,2,4,0,2020
006 DP - Cambuci,1627,7,769,78,456,3,0,1,0,3,0,243,85,2,3,11,0,2020
036 DP - Vila Mariana,3646,2,828,18,223,0,0,1,0,2,0,132,68,16,3,2,1,2020
007 DP - Lapa,2445,14,1132,69,581,3,0,1,0,4,0,151,121,9,4,7,0,2020
020 DP - Água Fria,1265,6,745,98,333,8,0,1,0,2,0,290,181,10,4,18,0,2020
055 DP - Parque São Rafael,904,35,972,280,230,9,0,1,1,7,1,206,46,6,4,13,0,2020
087 DP - Vila Pereira Barreto,917,30,746,204,374,6,0,1,0,9,0,286,91,0,4,20,0,2020
040 DP - Vila Santa Maria,1076,31,750,108,228,5,0,1,0,5,0,195,79,8,5,6,0,2020
